country_vote,amount
thailand,12476
cambodia,5266
brazil,4360
indonesia,3723
philippines,1807
vietnam,1414
myanmar,610
mexico,207
colombia,189
puerto rico,140
mozambique,134
malaysia,121
peru,93
guatemala,78
paraguay,75
ecuador,73
india,48
spain,45
dominica,31
honduras,27
hong kong,26
ukraine,24
uganda,23
mauritius,21
costa rica,17
nigeria,16
panama,13
ghana,11
nicaragua,11
angola,10
australia,10
japan,9
italy,7
israel,7
germany,7
hongkong,6
china,6
nepal,6
pakistan,5
mongolia,4
chile,4
south africa,3
lao,3
argentina,3
el salvador,3
curaçao,3
cuba,3
netherlands,2
bangladesh,2
france,2
dominican republic,2
poland,2
united kingdom,2
singapore,2
canada,2
sri lanka,2
turkey,1
chad,1
somalia,1
czechia,1
oman,1
denmark,1
mali,1
zimbabwe,1
