country,amount,continent
THAILAND,12476,ASIA
CAMBODIA,5266,ASIA
BRAZIL,4360,SOUTH AMERICA
INDONESIA,3723,ASIA
PHILIPPINES,1807,ASIA
VIETNAM,1414,ASIA
MYANMAR,610,ASIA
MEXICO,207,NORTH AMERICA
COLOMBIA,189,SOUTH AMERICA
PUERTO RICO,140,NORTH AMERICA
MOZAMBIQUE,134,AFRICA
MALAYSIA,121,ASIA
PERU,93,SOUTH AMERICA
GUATEMALA,78,NORTH AMERICA
PARAGUAY,75,SOUTH AMERICA
ECUADOR,73,SOUTH AMERICA
INDIA,48,ASIA
SPAIN,45,EUROPE
DOMINICA,31,NORTH AMERICA
HONDURAS,27,NORTH AMERICA
HONG KONG,26,ASIA
UKRAINE,24,EUROPE
UGANDA,23,AFRICA
MAURITIUS,21,AFRICA
COSTA RICA,17,NORTH AMERICA
NIGERIA,16,AFRICA
PANAMA,13,NORTH AMERICA
GHANA,11,AFRICA
NICARAGUA,11,NORTH AMERICA
ANGOLA,10,AFRICA
AUSTRALIA,10,OCEANIA
JAPAN,9,ASIA
ITALY,7,EUROPE
ISRAEL,7,ASIA
GERMANY,7,EUROPE
HONG KONG,6,ASIA
CHINA,6,ASIA
NEPAL,6,ASIA
PAKISTAN,5,ASIA
MONGOLIA,4,ASIA
CHILE,4,SOUTH AMERICA
SOUTH AFRICA,3,AFRICA
LAOS,3,ASIA
ARGENTINA,3,SOUTH AMERICA
EL SALVADOR,3,NORTH AMERICA
CURACAO,3,NORTH AMERICA
CUBA,3,NORTH AMERICA
NETHERLANDS,2,EUROPE
BANGLADESH,2,ASIA
FRANCE,2,EUROPE
DOMINICAN REPUBLIC,2,NORTH AMERICA
POLAND,2,EUROPE
UNITED KINGDOM,2,EUROPE
SINGAPORE,2,ASIA
CANADA,2,NORTH AMERICA
SRI LANKA,2,ASIA
TURKEY,1,ASIA
CHAD,1,AFRICA
SOMALIA,1,AFRICA
CZECH REPUBLIC,1,EUROPE
OMAN,1,ASIA
DENMARK,1,EUROPE
MALI,1,AFRICA
ZIMBABWE,1,AFRICA
