country,amount,continent,owner
THAILAND,12476,ASIA,MGI
CAMBODIA,5266,ASIA,MGI
BRAZIL,4360,SOUTH AMERICA,MGI
INDONESIA,3723,ASIA,MGI
PHILIPPINES,1807,ASIA,MGI
VIETNAM,1414,ASIA,MGI
MYANMAR,610,ASIA,MGI
MEXICO,207,NORTH AMERICA,MGI
COLOMBIA,189,SOUTH AMERICA,MGI
PUERTO RICO,140,NORTH AMERICA,MGI
MOZAMBIQUE,134,AFRICA,MGI
MALAYSIA,121,ASIA,MGI
PERU,93,SOUTH AMERICA,MGI
GUATEMALA,78,NORTH AMERICA,MGI
PARAGUAY,75,SOUTH AMERICA,MGI
ECUADOR,73,SOUTH AMERICA,MGI
INDIA,48,ASIA,MGI
SPAIN,45,EUROPE,MGI
DOMINICA,31,NORTH AMERICA,MGI
HONDURAS,27,NORTH AMERICA,MGI
HONG KONG,26,ASIA,MGI
UKRAINE,24,EUROPE,MGI
UGANDA,23,AFRICA,MGI
MAURITIUS,21,AFRICA,MGI
COSTA RICA,17,NORTH AMERICA,MGI
NIGERIA,16,AFRICA,MGI
PANAMA,13,NORTH AMERICA,MGI
GHANA,11,AFRICA,MGI
NICARAGUA,11,NORTH AMERICA,MGI
ANGOLA,10,AFRICA,MGI
AUSTRALIA,10,OCEANIA,MGI
JAPAN,9,ASIA,MGI
ITALY,7,EUROPE,MGI
ISRAEL,7,ASIA,MGI
GERMANY,7,EUROPE,MGI
HONG KONG,6,ASIA,MGI
CHINA,6,ASIA,MGI
NEPAL,6,ASIA,MGI
PAKISTAN,5,ASIA,MGI
MONGOLIA,4,ASIA,MGI
CHILE,4,SOUTH AMERICA,MGI
SOUTH AFRICA,3,AFRICA,MGI
LAOS,3,ASIA,MGI
ARGENTINA,3,SOUTH AMERICA,MGI
EL SALVADOR,3,NORTH AMERICA,MGI
CURACAO,3,NORTH AMERICA,MGI
CUBA,3,NORTH AMERICA,MGI
NETHERLANDS,2,EUROPE,MGI
BANGLADESH,2,ASIA,MGI
FRANCE,2,EUROPE,MGI
DOMINICAN REPUBLIC,2,NORTH AMERICA,MGI
POLAND,2,EUROPE,MGI
UNITED KINGDOM,2,EUROPE,MGI
SINGAPORE,2,ASIA,MGI
CANADA,2,NORTH AMERICA,MGI
SRI LANKA,2,ASIA,MGI
TURKEY,1,ASIA,MGI
CHAD,1,AFRICA,MGI
SOMALIA,1,AFRICA,MGI
CZECH REPUBLIC,1,EUROPE,MGI
OMAN,1,ASIA,MGI
DENMARK,1,EUROPE,MGI
MALI,1,AFRICA,MGI
ZIMBABWE,1,AFRICA,MGI
THAILAND,4802,ASIA,MU
PHILIPPINES,3499,ASIA,MU
INDONESIA,3318,ASIA,MU
DOMINICA,3204,NORTH AMERICA,MU
NICARAGUA,3166,NORTH AMERICA,MU
UKRAINE,2419,EUROPE,MU
HONDURAS,2203,NORTH AMERICA,MU
PERU,1803,SOUTH AMERICA,MU
COLOMBIA,1748,SOUTH AMERICA,MU
COSTA RICA,1134,NORTH AMERICA,MU
CANADA,1110,NORTH AMERICA,MU
PORTUGAL,999,EUROPE,MU
INDIA,946,ASIA,MU
DOMINICAN REPUBLIC,702,NORTH AMERICA,MU
SPAIN,517,EUROPE,MU
MYANMAR,385,ASIA,MU
VIETNAM,348,ASIA,MU
HAITI,334,NORTH AMERICA,MU
CURACAO,236,NORTH AMERICA,MU
PUERTO RICO,221,NORTH AMERICA,MU
EL SALVADOR,220,NORTH AMERICA,MU
AUSTRALIA,194,OCEANIA,MU
CAMBODIA,193,ASIA,MU
MEXICO,172,NORTH AMERICA,MU
KYRGYZSTAN,165,ASIA,MU
BRAZIL,126,SOUTH AMERICA,MU
GUATEMALA,126,NORTH AMERICA,MU
JAMAICA,125,NORTH AMERICA,MU
ECUADOR,121,SOUTH AMERICA,MU
ANGOLA,103,AFRICA,MU
ITALY,98,EUROPE,MU
SOUTH AFRICA,85,AFRICA,MU
TURKEY,77,ASIA,MU
FRANCE,59,EUROPE,MU
GERMANY,57,EUROPE,MU
CHILE,51,SOUTH AMERICA,MU
NEPAL,50,ASIA,MU
CHINA,47,ASIA,MU
UNITED STATES,41,NORTH AMERICA,MU
CAMEROON,39,AFRICA,MU
LAOS,36,ASIA,MU
NIGERIA,34,AFRICA,MU
PANAMA,31,NORTH AMERICA,MU
PARAGUAY,31,SOUTH AMERICA,MU
TRINIDAD AND TOBAGO,30,NORTH AMERICA,MU
GHANA,28,AFRICA,MU
BAHRAIN,28,ASIA,MU
NIGER,20,AFRICA,MU
EQUATORIAL GUINEA,20,AFRICA,MU
