country,amount,continent
THAILAND,4802,ASIA
PHILIPPINES,3499,ASIA
INDONESIA,3318,ASIA
DOMINICA,3204,NORTH AMERICA
NICARAGUA,3166,NORTH AMERICA
UKRAINE,2419,EUROPE
HONDURAS,2203,NORTH AMERICA
PERU,1803,SOUTH AMERICA
COLOMBIA,1748,SOUTH AMERICA
COSTA RICA,1134,NORTH AMERICA
CANADA,1110,NORTH AMERICA
PORTUGAL,999,EUROPE
INDIA,946,ASIA
DOMINICAN REPUBLIC,702,NORTH AMERICA
SPAIN,517,EUROPE
MYANMAR,385,ASIA
VIETNAM,348,ASIA
HAITI,334,NORTH AMERICA
CURACAO,236,NORTH AMERICA
PUERTO RICO,221,NORTH AMERICA
EL SALVADOR,220,NORTH AMERICA
AUSTRALIA,194,OCEANIA
CAMBODIA,193,ASIA
MEXICO,172,NORTH AMERICA
KYRGYZSTAN,165,ASIA
BRAZIL,126,SOUTH AMERICA
GUATEMALA,126,NORTH AMERICA
JAMAICA,125,NORTH AMERICA
ECUADOR,121,SOUTH AMERICA
ANGOLA,103,AFRICA
ITALY,98,EUROPE
SOUTH AFRICA,85,AFRICA
TURKEY,77,ASIA
FRANCE,59,EUROPE
GERMANY,57,EUROPE
CHILE,51,SOUTH AMERICA
NEPAL,50,ASIA
CHINA,47,ASIA
UNITED STATES,41,NORTH AMERICA
CAMEROON,39,AFRICA
LAOS,36,ASIA
NIGERIA,34,AFRICA
PANAMA,31,NORTH AMERICA
PARAGUAY,31,SOUTH AMERICA
TRINIDAD AND TOBAGO,30,NORTH AMERICA
GHANA,28,AFRICA
BAHRAIN,28,ASIA
NIGER,20,AFRICA
EQUATORIAL GUINEA,20,AFRICA
MALAYSIA,18,ASIA
JAPAN,18,ASIA
ARGENTINA,17,SOUTH AMERICA
SINGAPORE,17,ASIA
POLAND,16,EUROPE
LEBANON,16,ASIA
GREECE,14,EUROPE
NAMIBIA,13,AFRICA
ARUBA,13,NORTH AMERICA
EGYPT,12,AFRICA
OMAN,10,ASIA
BHUTAN,9,ASIA
ICELAND,9,EUROPE
ARMENIA,8,ASIA
GUINEA,8,AFRICA
MAURITIUS,8,AFRICA
MALTA,8,EUROPE
BELIZE,7,NORTH AMERICA
BELGIUM,7,EUROPE
CUBA,7,NORTH AMERICA
SAINT LUCIA,7,NORTH AMERICA
EAST TIMOR,7,OCEANIA
CHAD,6,AFRICA
NETHERLANDS,5,EUROPE
NORWAY,5,EUROPE
RUSSIA,4,EUROPE
AUSTRIA,4,EUROPE
ALBANIA,4,EUROPE
FINLAND,4,EUROPE
SWITZERLAND,2,EUROPE
AFGHANISTAN,2,ASIA
ZIMBABWE,2,AFRICA
BULGARIA,2,EUROPE
ETHIOPIA,2,AFRICA
IRELAND,2,EUROPE
SWEDEN,1,EUROPE
BAHAMAS,1,NORTH AMERICA
VANUATU,1,OCEANIA
BELARUS,1,EUROPE
UNITED KINGDOM,1,EUROPE
BURKINA FASO,1,AFRICA
CROATIA,1,EUROPE
GREENLAND,1,NORTH AMERICA
HONG KONG,1,ASIA
PAKISTAN,1,ASIA
NAURU,1,OCEANIA
SLOVAKIA,1,EUROPE
ISRAEL,1,ASIA
SENEGAL,1,AFRICA
JORDAN,1,ASIA
MALI,1,AFRICA
QATAR,1,ASIA
PUERTO RICO,1,NORTH AMERICA
MONGOLIA,1,ASIA
MOROCCO,1,AFRICA
HUNGARY,1,EUROPE
